Time	D6	D7	D8	E6	E7	E8	F6	F7	F8
0:29:16	-0.006	-0.010	-0.011	-0.005	-0.006	-0.006	-0.008	-0.009	-0.007
0:59:16	-0.008	-0.012	-0.008	-0.008	-0.008	-0.007	-0.012	-0.015	-0.004
1:29:16	-0.008	-0.010	-0.006	-0.007	-0.009	-0.005	-0.009	-0.012	-0.003
1:59:16	-0.008	-0.009	-0.006	-0.007	-0.010	-0.004	-0.007	-0.011	-0.002
2:29:16	-0.004	-0.008	-0.005	-0.006	-0.010	-0.003	-0.003	-0.009	-0.001
2:59:16	-0.005	-0.003	-0.004	-0.004	-0.010	-0.002	-0.002	-0.006	-0.001
3:29:16	-0.003	-0.005	-0.002	-0.006	-0.008	-0.001	0.001	-0.008	0.001
3:59:16	0.000	-0.002	0.000	-0.004	-0.007	0.001	0.003	-0.006	0.003
4:29:16	0.004	0.000	0.003	-0.000	-0.006	0.004	0.003	-0.005	0.005
4:59:16	0.007	0.005	0.008	-0.003	-0.001	0.007	0.007	-0.003	0.009
5:29:16	0.013	0.008	0.012	-0.000	-0.001	0.011	0.011	0.002	0.013
5:59:16	0.015	0.020	0.017	0.006	0.004	0.017	0.016	0.009	0.017
6:29:16	0.026	0.041	0.024	0.017	0.008	0.023	0.018	0.010	0.022
6:59:16	0.047	0.074	0.031	0.016	0.012	0.026	0.025	0.018	0.025
7:29:16	0.062	0.042	0.035	0.011	0.015	0.028	0.037	0.025	0.038
7:59:16	0.074	0.093	0.053	0.012	0.053	0.053	0.050	0.035	0.051
8:29:16	0.095	0.065	0.068	0.014	0.044	0.067	0.059	0.055	0.086
8:59:15	0.115	0.076	0.101	0.021	0.083	0.090	0.072	0.062	0.096
9:29:16	0.152	0.094	0.145	0.024	0.085	0.116	0.093	0.080	0.119
9:59:16	0.209	0.120	0.187	0.025	0.110	0.140	0.111	0.119	0.160
10:29:16	0.268	0.143	0.241	0.031	0.146	0.195	0.154	0.153	0.204
10:59:16	0.326	0.200	0.308	0.066	0.206	0.260	0.197	0.194	0.264
11:29:16	0.400	0.244	0.381	0.055	0.265	0.304	0.256	0.252	0.310
11:59:16	0.491	0.281	0.459	0.073	0.322	0.381	0.310	0.308	0.395
12:29:16	0.599	0.356	0.569	0.099	0.401	0.470	0.376	0.384	0.476
12:59:16	0.701	0.409	0.675	0.137	0.492	0.565	0.469	0.461	0.586
13:29:16	0.764	0.501	0.753	0.184	0.612	0.681	0.550	0.564	0.688
13:59:16	0.816	0.610	0.835	0.223	0.693	0.736	0.650	0.666	0.737
14:29:16	0.919	0.729	0.914	0.273	0.781	0.834	0.740	0.751	0.837
14:59:16	0.937	0.798	0.971	0.311	0.853	0.895	0.823	0.808	0.898
15:29:16	1.001	0.864	1.056	0.348	0.920	0.959	0.901	0.877	0.971
15:59:16	1.021	0.925	1.061	0.447	0.984	1.014	0.952	0.925	1.021
16:29:16	1.017	0.985	1.074	0.512	1.006	1.037	0.993	0.974	1.048
16:59:16	1.025	1.045	1.089	0.642	1.011	1.062	1.013	0.998	1.074
17:29:16	0.999	1.066	1.073	0.710	0.996	1.058	1.033	1.011	1.084
17:59:16	0.976	1.082	1.097	0.746	1.011	1.046	1.039	1.029	1.085
18:29:16	0.950	1.101	1.071	0.934	0.995	1.064	1.043	1.002	1.059
18:59:16	0.919	1.078	1.060	0.999	0.942	1.015	1.028	0.987	1.045
19:29:16	0.913	1.086	1.026	1.057	0.944	1.021	0.986	0.947	1.055
19:59:16	0.876	1.057	1.020	1.069	0.906	0.989	0.973	0.950	1.020
20:29:16	0.839	1.051	0.995	1.106	0.893	0.966	0.941	0.894	1.007
20:59:16	0.841	1.044	0.964	1.126	0.920	0.967	0.959	0.872	0.993
21:29:16	0.776	1.017	0.941	1.146	0.860	0.904	0.935	0.835	0.960
21:59:16	0.803	1.007	0.940	1.154	0.916	0.908	0.884	0.831	0.958
22:29:16	0.817	0.967	0.903	1.154	0.888	0.868	0.913	0.772	0.915
22:59:16	0.816	0.943	0.878	1.146	0.863	0.862	0.889	0.714	0.909
23:29:16	0.783	0.926	0.894	1.138	0.864	0.814	0.896	0.752	0.837
23:59:16	0.799	0.909	0.845	1.119	0.865	0.781	0.877	0.687	0.809

