Time	Temp	blank	D6	D7	D8	E6	E7	E8	F6	F7	F8
0:29:16	20.5	0.087	0.081	0.077	0.076	0.082	0.081	0.082	0.079	0.078	0.080
0:59:16	20.0	0.088	0.080	0.076	0.081	0.080	0.080	0.082	0.076	0.073	0.084
1:29:16	20.0	0.088	0.080	0.078	0.082	0.081	0.080	0.084	0.079	0.076	0.086
1:59:16	20.0	0.089	0.081	0.079	0.083	0.082	0.079	0.085	0.081	0.078	0.087
2:29:16	20.0	0.089	0.085	0.081	0.084	0.082	0.079	0.086	0.086	0.079	0.088
2:59:16	20.1	0.089	0.084	0.086	0.085	0.084	0.079	0.087	0.086	0.082	0.088
3:29:16	20.0	0.089	0.086	0.084	0.086	0.083	0.081	0.088	0.090	0.081	0.090
3:59:16	20.0	0.088	0.089	0.086	0.089	0.084	0.081	0.089	0.091	0.083	0.092
4:29:16	20.0	0.089	0.093	0.089	0.092	0.088	0.083	0.092	0.092	0.084	0.093
4:59:16	20.0	0.089	0.096	0.093	0.097	0.086	0.088	0.096	0.096	0.086	0.097
5:29:16	20.0	0.089	0.102	0.096	0.101	0.088	0.088	0.099	0.100	0.090	0.101
5:59:16	20.0	0.089	0.103	0.108	0.106	0.095	0.093	0.105	0.105	0.098	0.105
6:29:16	20.0	0.089	0.115	0.129	0.113	0.106	0.097	0.111	0.107	0.098	0.111
6:59:16	20.0	0.089	0.136	0.163	0.120	0.105	0.101	0.115	0.114	0.107	0.114
7:29:16	20.0	0.089	0.151	0.131	0.124	0.100	0.104	0.117	0.126	0.114	0.127
7:59:16	20.0	0.089	0.163	0.182	0.142	0.101	0.142	0.142	0.139	0.124	0.140
8:29:16	20.0	0.089	0.184	0.154	0.157	0.103	0.133	0.156	0.148	0.145	0.175
8:59:15	20.0	0.089	0.204	0.165	0.190	0.110	0.172	0.179	0.161	0.151	0.186
9:29:16	20.1	0.089	0.242	0.183	0.234	0.114	0.174	0.205	0.183	0.169	0.208
9:59:16	20.0	0.089	0.298	0.209	0.276	0.114	0.200	0.229	0.200	0.208	0.250
10:29:16	20.0	0.089	0.357	0.232	0.330	0.120	0.236	0.285	0.243	0.243	0.293
10:59:16	20.0	0.089	0.416	0.290	0.397	0.156	0.295	0.350	0.286	0.284	0.354
11:29:16	20.0	0.089	0.489	0.333	0.470	0.144	0.354	0.393	0.346	0.341	0.399
11:59:16	20.0	0.089	0.580	0.370	0.548	0.163	0.411	0.471	0.399	0.397	0.485
12:29:16	20.0	0.090	0.688	0.446	0.658	0.188	0.490	0.559	0.466	0.473	0.565
12:59:16	20.0	0.090	0.791	0.499	0.764	0.226	0.582	0.655	0.559	0.550	0.675
13:29:16	20.0	0.090	0.854	0.591	0.843	0.274	0.701	0.770	0.640	0.653	0.777
13:59:16	20.0	0.090	0.906	0.700	0.925	0.313	0.783	0.825	0.740	0.756	0.827
14:29:16	20.0	0.090	1.008	0.819	1.004	0.363	0.871	0.923	0.830	0.840	0.927
14:59:16	20.0	0.090	1.027	0.887	1.061	0.400	0.942	0.985	0.912	0.897	0.988
15:29:16	20.0	0.090	1.091	0.953	1.146	0.438	1.010	1.048	0.990	0.966	1.061
15:59:16	20.0	0.090	1.110	1.015	1.150	0.537	1.074	1.104	1.042	1.015	1.111
16:29:16	20.0	0.090	1.107	1.075	1.163	0.602	1.096	1.127	1.082	1.064	1.138
16:59:16	20.0	0.090	1.115	1.135	1.179	0.732	1.101	1.152	1.103	1.088	1.164
17:29:16	20.0	0.090	1.089	1.155	1.163	0.800	1.086	1.148	1.122	1.100	1.174
17:59:16	20.0	0.090	1.066	1.172	1.187	0.836	1.101	1.136	1.129	1.119	1.175
18:29:16	20.0	0.090	1.040	1.191	1.161	1.024	1.085	1.154	1.132	1.092	1.149
18:59:16	20.0	0.090	1.009	1.168	1.150	1.089	1.031	1.105	1.117	1.077	1.135
19:29:16	20.0	0.090	1.003	1.176	1.116	1.147	1.034	1.111	1.076	1.037	1.145
19:59:16	20.0	0.090	0.966	1.147	1.110	1.159	0.996	1.079	1.063	1.040	1.110
20:29:16	20.0	0.090	0.928	1.141	1.085	1.196	0.983	1.056	1.031	0.984	1.096
20:59:16	20.0	0.090	0.931	1.134	1.054	1.216	1.010	1.057	1.048	0.961	1.082
21:29:16	20.0	0.090	0.866	1.106	1.030	1.236	0.950	0.994	1.025	0.925	1.050
21:59:16	20.0	0.090	0.892	1.097	1.030	1.243	1.006	0.998	0.974	0.921	1.048
22:29:16	20.0	0.090	0.907	1.057	0.993	1.244	0.978	0.958	1.003	0.862	1.005
22:59:16	20.0	0.090	0.905	1.033	0.968	1.236	0.953	0.952	0.979	0.804	0.999
23:29:16	20.0	0.090	0.873	1.016	0.984	1.228	0.954	0.903	0.986	0.842	0.927
23:59:16	20.0	0.090	0.889	0.999	0.935	1.209	0.955	0.871	0.967	0.777	0.899
