Time	Blank	D5	D6	D7	E5	E6	E7	F5	F6	F7
0:29:16	0.000	0.000	0.001	-0.001	0.001	0.002	-0.002	0.000	0.000	-0.002
0:59:16	0.000	-0.000	0.001	-0.001	0.000	0.002	-0.002	-0.000	0.000	-0.002
1:29:16	0.000	0.002	0.004	0.001	0.002	0.004	0.000	0.002	0.003	0.000
1:59:16	0.000	0.003	0.006	0.003	0.004	0.005	0.001	0.004	0.004	0.002
2:29:16	0.000	0.007	0.008	0.006	0.006	0.008	0.004	0.006	0.007	0.005
2:59:16	0.000	0.012	0.015	0.011	0.010	0.013	0.009	0.010	0.012	0.009
3:29:16	0.000	0.019	0.021	0.020	0.016	0.022	0.015	0.017	0.018	0.016
3:59:16	0.000	0.026	0.028	0.031	0.024	0.029	0.027	0.023	0.026	0.020
4:29:16	0.000	0.035	0.043	0.047	0.032	0.038	0.038	0.032	0.036	0.032
4:59:16	0.000	0.051	0.064	0.076	0.043	0.055	0.055	0.047	0.054	0.044
5:29:16	0.000	0.085	0.101	0.114	0.070	0.098	0.089	0.076	0.081	0.072
5:59:16	0.000	0.132	0.153	0.182	0.105	0.149	0.139	0.116	0.130	0.120
6:29:16	0.000	0.225	0.240	0.280	0.168	0.236	0.232	0.188	0.211	0.178
6:59:16	0.000	0.316	0.347	0.395	0.262	0.346	0.326	0.279	0.291	0.277
7:29:16	0.000	0.462	0.480	0.553	0.373	0.483	0.468	0.409	0.433	0.401
7:59:16	0.000	0.602	0.646	0.711	0.515	0.618	0.620	0.560	0.595	0.540
8:29:16	0.000	0.734	0.766	0.815	0.668	0.740	0.740	0.716	0.736	0.686
8:59:16	0.000	0.837	0.843	0.889	0.781	0.829	0.834	0.796	0.814	0.775
9:29:16	0.000	0.908	0.911	0.938	0.855	0.903	0.908	0.860	0.867	0.862
9:59:16	0.000	0.922	0.921	0.954	0.885	0.910	0.941	0.919	0.890	0.899
10:29:16	0.000	0.966	0.948	0.976	0.918	0.928	0.966	0.943	0.924	0.926
10:59:16	0.000	0.953	0.920	0.957	0.936	0.928	0.962	0.986	0.941	0.975
11:29:16	0.000	0.983	0.930	0.944	0.959	0.902	0.953	0.972	0.993	0.980
11:59:16	0.000	0.978	0.948	0.915	1.022	0.874	0.947	0.982	1.084	0.950
12:29:16	0.000	0.931	1.064	0.896	1.083	0.939	0.992	0.992	1.169	0.960
12:59:16	0.000	0.900	1.120	0.886	1.154	1.029	1.042	1.050	1.192	1.061
13:29:16	0.000	0.856	1.178	0.890	1.192	1.117	1.121	1.133	1.222	1.139
13:59:16	0.000	0.802	1.195	0.935	1.209	1.140	1.186	1.179	1.231	1.192
14:29:16	0.000	0.807	1.225	1.001	1.215	1.177	1.220	1.229	1.238	1.232
14:59:16	0.000	0.809	1.212	1.096	1.218	1.196	1.242	1.263	1.235	1.264
15:29:16	0.000	0.811	1.214	1.106	1.227	1.200	1.247	1.272	1.236	1.262
15:59:16	0.000	0.864	1.223	1.126	1.224	1.203	1.246	1.282	1.242	1.271
16:29:16	0.000	0.915	1.220	1.147	1.220	1.200	1.243	1.295	1.237	1.259
16:59:16	0.000	0.950	1.224	1.157	1.227	1.197	1.242	1.296	1.240	1.268
17:29:16	0.000	0.994	1.222	1.170	1.225	1.195	1.242	1.310	1.242	1.257
17:59:16	0.000	1.028	1.225	1.188	1.226	1.200	1.238	1.315	1.237	1.263
18:29:16	0.000	1.035	1.228	1.198	1.227	1.201	1.240	1.325	1.237	1.253
18:59:16	0.000	1.046	1.230	1.212	1.227	1.200	1.238	1.319	1.236	1.254
19:29:16	0.000	1.058	1.229	1.220	1.225	1.204	1.238	1.321	1.236	1.250
19:59:16	0.000	1.071	1.239	1.228	1.233	1.202	1.243	1.320	1.243	1.244
20:29:16	0.000	1.094	1.237	1.233	1.226	1.198	1.239	1.318	1.239	1.242
20:59:16	0.000	1.083	1.242	1.240	1.228	1.197	1.245	1.319	1.244	1.245
21:29:16	0.000	1.101	1.242	1.225	1.224	1.197	1.245	1.318	1.240	1.244
21:59:16	0.000	1.075	1.240	1.228	1.227	1.198	1.247	1.313	1.243	1.248
22:29:16	0.000	1.082	1.240	1.230	1.225	1.197	1.244	1.309	1.240	1.236
22:59:16	0.000	1.077	1.238	1.232	1.232	1.196	1.242	1.307	1.242	1.230
23:29:16	0.000	1.076	1.226	1.235	1.223	1.190	1.241	1.300	1.239	1.229
23:59:16	0.000	1.065	1.228	1.166	1.220	1.189	1.241	1.297	1.235	1.224
