Time	Temp	Blank	D5	D6	D7	E5	E6	E7	F5	F6	F7
0:29:16	26.0	0.087	0.089	0.088	0.088	0.089	0.089	0.088	0.091	0.089	0.088
0:59:16	26.0	0.087	0.091	0.088	0.088	0.090	0.090	0.089	0.091	0.090	0.126
1:29:16	26.0	0.087	0.094	0.090	0.090	0.092	0.091	0.090	0.092	0.091	0.093
1:59:16	26.0	0.087	0.095	0.093	0.094	0.094	0.094	0.093	0.096	0.095	0.094
2:29:16	25.9	0.087	0.100	0.098	0.100	0.101	0.098	0.098	0.100	0.099	0.099
2:59:16	26.0	0.087	0.108	0.105	0.111	0.106	0.105	0.104	0.105	0.110	0.103
3:29:16	26.0	0.087	0.116	0.113	0.121	0.117	0.112	0.111	0.110	0.117	0.108
3:59:16	26.0	0.087	0.135	0.128	0.148	0.131	0.126	0.124	0.125	0.137	0.123
4:29:16	26.0	0.088	0.166	0.161	0.195	0.168	0.157	0.154	0.145	0.180	0.145
4:59:16	26.0	0.088	0.238	0.218	0.286	0.229	0.209	0.205	0.195	0.248	0.193
5:29:16	26.0	0.088	0.342	0.326	0.404	0.359	0.313	0.299	0.269	0.366	0.276
5:59:16	26.0	0.087	0.489	0.453	0.581	0.494	0.438	0.416	0.389	0.525	0.394
6:29:16	26.0	0.088	0.639	0.624	0.740	0.646	0.595	0.575	0.543	0.660	0.543
6:59:16	26.0	0.087	0.810	0.788	0.874	0.811	0.767	0.755	0.704	0.800	0.715
7:29:16	26.0	0.087	0.897	0.881	0.953	0.892	0.846	0.871	0.810	0.904	0.826
7:59:16	26.0	0.088	0.961	0.931	0.990	0.955	0.940	0.932	0.892	0.958	0.915
8:29:16	25.9	0.088	0.986	0.979	1.031	0.995	0.964	0.984	0.960	1.020	0.974
8:59:16	26.0	0.088	0.994	1.003	1.065	1.035	0.995	0.999	0.986	1.026	1.031
9:29:16	26.0	0.088	1.062	1.000	1.039	1.041	1.083	1.017	1.022	1.046	1.071
9:59:16	26.0	0.088	1.061	1.001	1.129	1.032	1.228	0.997	0.996	1.041	1.070
10:29:16	26.0	0.088	1.200	0.989	1.186	1.009	1.285	0.998	0.976	1.015	1.051
10:59:16	26.0	0.088	1.299	0.993	1.218	0.999	1.313	0.989	0.955	1.038	1.055
11:29:16	26.0	0.088	1.343	1.092	1.262	1.086	1.339	1.017	0.970	1.109	1.127
11:59:16	26.0	0.088	1.379	1.145	1.293	1.146	1.356	1.053	0.961	1.153	1.188
12:29:16	26.0	0.088	1.394	1.189	1.337	1.234	1.362	1.091	0.976	1.210	1.262
12:59:16	26.0	0.088	1.401	1.258	1.391	1.263	1.368	1.110	1.015	1.242	1.306
13:29:16	26.0	0.088	1.411	1.287	1.484	1.290	1.374	1.142	1.069	1.261	1.337
13:59:16	26.0	0.088	1.408	1.308	1.554	1.301	1.374	1.171	1.093	1.288	1.344
14:29:16	25.9	0.088	1.417	1.322	1.321	1.308	1.376	1.200	1.132	1.299	1.350
14:59:16	26.0	0.088	1.420	1.345	1.388	1.310	1.376	1.230	1.180	1.303	1.358
15:29:16	26.0	0.088	1.428	1.350	1.378	1.322	1.382	1.261	1.228	1.309	1.367
15:59:16	26.0	0.088	1.431	1.360	1.412	1.327	1.383	1.301	1.259	1.316	1.374
16:29:16	26.0	0.088	1.440	1.370	1.438	1.330	1.385	1.332	1.284	1.330	1.381
16:59:16	26.0	0.088	1.439	1.379	1.438	1.335	1.388	1.354	1.301	1.337	1.375
17:29:16	26.0	0.088	1.442	1.389	1.446	1.336	1.395	1.365	1.301	1.343	1.375
17:59:16	26.0	0.088	1.448	1.394	1.461	1.342	1.396	1.378	1.303	1.303	1.359
18:29:16	25.9	0.088	1.455	1.397	1.444	1.347	1.398	1.388	1.305	1.312	1.333
18:59:16	26.0	0.088	1.449	1.398	1.474	1.347	1.401	1.395	1.310	1.312	1.323
19:29:16	26.0	0.088	1.452	1.402	1.469	1.348	1.406	1.399	1.292	1.314	1.313
19:59:16	26.0	0.088	1.447	1.402	1.463	1.351	1.407	1.409	1.285	1.312	1.444
20:29:16	26.0	0.088	1.445	1.400	1.514	1.347	1.408	1.410	1.283	1.301	1.310
20:59:16	26.0	0.088	1.444	1.405	1.506	1.350	1.408	1.410	1.261	1.301	1.328
21:29:16	26.0	0.088	1.446	1.400	1.509	1.349	1.409	1.409	1.259	1.284	1.357
21:59:16	26.0	0.088	1.444	1.398	1.440	1.347	1.411	1.411	1.248	1.284	1.367
22:29:16	26.0	0.088	1.440	1.397	1.512	1.347	1.409	1.413	1.244	1.508	1.392
22:59:16	26.0	0.088	1.255	1.394	1.514	1.340	1.405	1.412	1.243	1.343	1.389
23:29:16	26.0	0.088	1.300	1.391	1.467	1.336	1.403	1.410	1.432	1.347	1.400
23:59:16	26.0	0.088	1.314	1.389	1.500	1.331	1.397	1.405	1.378	1.387	1.419
24:29:16	26.0	0.088	1.349	1.385	1.426	1.327	1.388	1.402	1.320	1.384	1.407
